StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600000.SH,浦发银行,1.7191977077364,0.164663300271,3585846890.0,505345745.0,0.07,-0.10826210826211,,0.02062904,38695000000.0,,7.1169791666667,-0.0035781298895481,100.16004518923,177757000000.0,13.58063935247,0.58915692391948,0.6344773512077,,,0.19259219226995,1.318300880928,-10.804020100503,23.553561062451,7.1169791666667,0.34560376450504,4.0726279935549,-1.1782833053624,81.569902718709,44.0,-311297856.10847,7,1,4,0,-3.943661971831
600009.SH,上海机场,-3.4157532500637,0.91600092027206,7332174310.0,189734503.0,0.68,-0.05217137860682,,0.13466735,-395575081.75,,38.020416666667,-1.1390165350149,,9271829743.02,31.451242126562,0.70122815048599,1.0078510845406,-0.030601201090548,74293190.0,-0.87530396311913,-0.15896244644937,-26.154745663613,22.270624230893,38.020416666667,2.3510775791667,-31.482516201027,,64.370221935233,40.0,-214201375.04342,3,0,5,1,-1.7946687780417
600010.SH,包钢股份,-3.9106145251397,0.77986249581494,5560157798.0,3128662719.0,0.02,0.2716049382716,,0.44817142,491012429.57,410451760.31,1.7415625,-0.024712572429902,165.289022818,67548953155.76,36.268640961043,1.787100329323,1.3788000192178,1.3693028787348,7608952541.08,-0.1029938564709,0.010814074531537,-8.0213903743316,24.116060829338,1.7415625,1.4736840165187,-106.98784326446,,95.727872382522,28.0,-647646446.00974,2,0,3,0,-5.8139534883721
600011.SH,华能国际,-3.4355828220859,1.3151459128927,9363179050.0,1150995516.0,0.11,0.16839916839917,,0.50426258,9118797364.0,1811307742.0,8.046875,-0.16295368841255,95.613750740261,254093717980.0,55.660312621631,1.4611384417488,1.2251642521532,4.7801172910739,27448219733.0,0.11797614357658,0.58088566270196,-19.364754098361,23.941632440242,8.046875,2.1384914168435,-16.724245264249,-0.59662521195356,85.554346783878,40.0,-377142370.91299,3,0,4,0,-3.3036848792884
600015.SH,华夏银行,3.2490974729242,0.51164164099711,2944816595.0,521652916.0,0.04,0.25602409638554,,0.02314206,25914000000.0,,5.68875,0.030742399867009,100.40038894926,91954000000.0,14.289029546873,0.49632578539953,0.65166075689707,,,0.68300652571931,1.6282825305879,-9.3502377179081,23.888356930832,5.68875,0.33738062899134,3.6362448906315,0.57052682334008,102.64837975968,48.0,-222859778.98296,8,1,5,1,-2.0979020979021
600016.SH,民生银行,1.5873015873016,0.17156312958074,4647811875.0,1216798568.0,0.04,0.27884615384615,,0.01912992,35068000000.0,,3.8284375,-0.017885893321202,100.93602474361,140184000000.0,15.691687310087,0.51982593160897,0.48955384401989,,,3.0353279820284,0.80096077831786,-10.697674418605,23.422530457692,3.8284375,0.31956572581354,4.766919590793,1.8456245771515,76.78756758113,43.0,-613057822.86456,7,1,4,0,-3.125
600018.SH,上港集团,0.98039215686276,0.5636891942773,1603859415.0,310009485.0,0.07,0.024154589371979,,0.19076285,13034255312.46,220037567.11,5.1861458333333,0.001672338694811,102.70507530442,35477920373.11,28.384470689963,0.21998583034033,0.87784945320822,8.3348408434441,12694339425.01,0.13839820089376,0.55979102743123,-11.965811965812,24.630483671781,5.1861458333333,0.99456136881665,6.9620258713972,0.40213286979317,90.762827983009,41.0,-103399668.48785,6,1,4,0,-2.9126213592233
600019.SH,宝钢股份,0.4950495049505,0.98735526461019,10064208710.0,1592080972.0,0.07,0.15932914046122,,0.88600262,11073507091.96,3467905169.85,6.210625,-0.019792405160531,104.99805695379,345243119422.65,29.377513717268,1.0740996836463,1.2899518467994,3.8808239809112,19741835121.75,0.6755768399536,0.49741296797106,-13.494318181818,25.756663275632,6.210625,0.6828575112781,11.124842902144,-0.22970633218839,80.227318190326,37.0,-346417317.13521,6,1,8,1,2.7914614121511
600023.SH,浙能电力,-3.6281179138322,1.2226719849151,3854070858.0,879239502.0,0.04,0.38447653429603,,0.66386774,3681283084.05,461335178.64,4.3297916666667,-0.081023440186267,97.934707058313,88816909373.57,27.498433307255,0.62867120551173,0.64529749215903,4.3322749752043,4740543048.27,0.29073237171505,0.27454369871937,-9.5744680851064,24.31759268396,4.3297916666667,0.84642956580652,-31.164604333766,,100.13683084827,45.0,-130826426.9299,3,0,9,1,7.2941176470588
600025.SH,华能水电,2.3448275862069,1.0255428111111,2733726029.0,369195412.0,0.08,0.55597014925373,,0.11735467,7133368802.43,149038746.44,7.4198958333333,0.057260885779399,100.06648615723,20609552284.25,25.362464281544,0.5832583452471,0.68494956263662,6.7175629861415,11698792371.81,-0.064029629173889,0.39629826680167,3.921568627451,24.472212912541,7.4198958333333,2.4957352746426,19.637550365724,1.1895175825751,110.3439650391,48.0,-24641706.572998,7,1,8,1,3.5040431266846
