StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600000.SH,浦发银行,-4.8098434004474,0.17769088647899,5155727097.0,599859239.0,0.08,0.12835820895523,35761579.48,0.02428854,55119000000.0,,8.6029166666667,-0.077764579639821,100.17468508606,191137000000.0,18.485669473975,0.79745868574077,0.74547819780152,,,1.9199605508685,1.8778512217784,-14.300100704935,25.414902968997,8.6029166666667,0.45429268874743,4.2826734522558,-4.3054023164819,79.957875282037,41.0,-260445072.82141,3.0,0.0,3.0,0.0,0.23501762632197
600009.SH,上海机场,-18.257575757576,1.7454616486274,17024770123.0,345901140.0,1.46,0.48464554067298,16503041.32,0.08368457,-1780301632.59,,47.175520833333,-0.91530196534845,,3612968250.48,40.403398269344,1.3122100600504,0.89867304566903,-3.8375416968223,-2734598570.08,1.192197345861,-0.92389207169349,-6.2146892655367,22.283621995772,47.175520833333,2.9740507010066,-65.659365656946,,103.09939634341,47.0,97684162.841852,0.0,0.0,7.0,1.0,8.1788693234476
600010.SH,包钢股份,2.846975088968,5.4587456216173,66104024812.0,24305689898.0,0.16,0.54545454545455,1642465229.24,0.5403462,4016658278.63,282265233.31,2.8120833333333,0.01082410570397,101.27520507928,79875202051.11,56.647914726954,-0.58519124572228,0.5937436297739,4.9269436933463,9507458818.16,0.024521561271692,0.08811353300207,88.888888888889,24.476943400877,2.8120833333333,2.3225460055437,324.51817088006,-8.2739773304142,133.27627164839,51.0,21039270855.257,7.0,1.0,2.0,0.0,-3.4602076124568
600011.SH,华能国际,-19.455252918288,2.2655155800583,13795236360.0,2181018907.0,0.62,0.40989159891599,117199111.75,0.43744877,-3780054348.0,804843569.0,6.0890625,-0.2215038779826,,192589973756.0,50.980539391225,1.0037391194639,0.70020550864767,1.1094268060794,16915807725.0,0.036145494425582,-0.2407970357644,47.156398104265,22.830219967995,6.0890625,1.4161064415398,21.354956458835,0.12511339270182,113.09933037195,45.0,1215427024.4413,0.0,0.0,9.0,1.0,56.038647342995
600015.SH,华夏银行,0.17761989342806,0.35693148707882,2242863939.0,400307109.0,0.08,0.09467455621302,20307819.14,0.02823552,23350000000.0,,5.635625,0.013849417349793,100.07926547328,97143000000.0,15.595774745843,0.73547051435878,0.59682767587986,,,1.9610424878027,1.5174926956154,-8.7378640776699,27.725093248985,5.635625,0.37581496463793,4.0791512697589,-1.4183144216519,79.826257774739,37.0,-39600029.625465,6.0,1.0,3.0,0.0,-0.70921985815603
600016.SH,民生银行,0.0,0.13743367581747,4177610474.0,1072211788.0,0.02,0.060344827586209,71127069.55,0.02471054,32467000000.0,,3.8961458333333,-0.0080303633950223,101.17672831972,172265000000.0,13.349883953354,0.59388625804714,0.54839500440023,,,2.2945968595913,0.74155337029901,-11.389521640091,23.717878336338,3.8961458333333,0.35000022188771,4.9641087753295,-0.13693663258814,75.73596850556,31.0,-873590548.40949,6.0,1.0,3.0,0.0,0.25706940874035
600018.SH,上港集团,-15.371024734982,1.5765526007131,5760495366.0,1194445615.0,0.11,0.35725677830941,50409931.4,0.20504737,14039707688.42,115647571.88,4.7952083333333,-0.15722827472212,99.692040304259,33142363092.42,28.979359238214,0.91294236920867,1.0362278967002,10.838973118315,13392571002.77,0.18077043334556,0.60311443085255,1.0548523206751,23.087291022606,4.7952083333333,1.1627148354272,13.422770404264,-1.6108491046146,114.27874456965,47.0,141865589.69264,0.0,0.0,8.0,1.0,14.405010438413
600019.SH,宝钢股份,-8.5553997194951,1.9894635432834,24220658649.0,3683875387.0,0.22,0.21981424148607,167449855.56,0.9539424,26402580396.82,12157607776.63,6.6232291666667,-0.25518898454319,105.48181052575,362512386450.77,36.391325626439,0.71486432867532,0.94315373799352,8.8990587802551,52181954102.84,0.20262933287579,1.1856517173458,-14.547837483617,23.713184757112,6.6232291666667,0.79778204330888,11.45323118698,5.6118579271663,94.102327725401,45.0,-178665553.94418,1.0,0.0,8.0,1.0,9.8159509202454
600023.SH,浙能电力,-1.8518518518518,0.77692406959041,2411654598.0,647375910.0,0.09,0.61484918793503,58435081.97,0.57580293,3132953864.67,342103262.84,3.716875,-0.0076202047521039,99.529532907804,65198746249.52,19.697000984853,0.69566655987818,0.57379950192487,3.2879773871068,3268123478.07,-0.14800361602507,0.23035256795311,1.3661202185792,22.37161797265,3.716875,0.75211564210766,8.2905165502785,0.19748313089421,117.56077114895,43.0,287655249.23761,4.0,0.0,7.0,1.0,8.8948787061995
600025.SH,华能水电,-11.634756995582,3.0013599974747,7369761174.0,1188538559.0,0.17,0.43449419568823,59944263.77,0.12305982,5349504737.42,103665380.88,6.08375,-0.16957198181734,100.56928445625,20050123934.91,35.242870306279,0.38930583976703,0.41469807553811,6.7918545824115,10839860505.03,-0.0050279745655556,0.29719470763444,5.4481546572935,22.338124204789,6.08375,2.1479375552726,22.339018603518,-1.7445693851378,84.847663987356,44.0,89118177.251977,1.0,0.0,8.0,1.0,9.8333333333333
